Callsign, Origin, Destination,Day
ABW120,KORD,UUEE,2020-04-01 
CSN461,KLAX,EDDF,2020-04-01 
ETH3730,OMSJ,EBLG,2020-04-01 
LOT8551,EPWA,SAEZ,2020-04-01 
ETH3909,VABB,EBLG,2020-04-01 
BOX590,EDDP,VHHH,2020-04-01 
KLM601,EHAM,KLAX,2020-04-01 
DLH9912,EDDF,MROC,2020-04-01 
ETH3725,VIDP,EBBR,2020-04-01 
TAP3109,LPPT,SBGR,2020-04-01 
BAW16,WSSS,EGLL,2020-04-01 
GTI8527,EDDF,RKSI,2020-04-01 
BAW193,EGLL,KDFW,2020-04-01 
BAW5,EGLL,RJTT,2020-04-01 
ETH3640,EBBR,RKSI,2020-04-01 
LOT8507,EPWA,KORD,2020-04-01 
AHO9191,EDDB,WMKK,2020-04-01 
FIN141,EFHK,VTBS,2020-04-01 
ATG6654,EDDP,VHHH,2020-04-01 
IBE6650,SPJC,LEMD,2020-04-01 
MAS2,WMKK,EGLL,2020-04-01 
KLM876,VTBS,EHAM,2020-04-01 
BAW28,VHHH,EGLL,2020-04-01 
KLM856,RKSI,EHAM,2020-04-01 
CPA251,VHHH,EGLL,2020-04-01 
AIC124,EDDF,VABB,2020-04-01 
KAL530,EDDF,RKSI,2020-04-01 
AEA458,LEMD,ZGSZ,2020-04-01 
CFG705,VCBI,EDDF,2020-04-01 
KAL8542,ENGM,RKSI,2020-04-01 
B3226,EGGW,VHHH,2020-04-01 
N197PA,KVPC,EINN,2020-04-01 
AEA761,LEMD,ZGSZ,2020-04-01 
FRH522,KJFK,EBLG,2020-04-01 
ABW220,OMDB,UUEE,2020-04-01 
SIA346,WSSS,LSZH,2020-04-01 
AFR4081,SAEZ,LFPG,2020-04-01 
KAL541,RKSI,LOWW,2020-04-01 
ACA7151,EDDF,CYYZ,2020-04-01 
DAL8959,EHAM,KMSP,2020-04-01 
CKS248,EDDP,KCVG,2020-04-01 
SIA322,WSSS,EGLL,2020-04-01 
AZA675,SBGR,LIRF,2020-04-01 
ANA212,EGLL,RJTT,2020-04-01 
AIC120,EDDF,VIDP,2020-04-01 
EVE600P,LEMD,KMIA,2020-04-01 
DHK923,KMIA,EBBR,2020-04-01 
AIC3506,EDDF,VABB,2020-04-01 
KAL9928,LIMC,RKSI,2020-04-01 
BAW246,SBGR,EGLL,2020-04-01 
AIC3504,EDDF,VABB,2020-04-01 
KAL9926,EHAM,RKSI,2020-04-01 
KAL908,EGLL,RKSI,2020-04-01 
TAX213,LKPR,VTBD,2020-04-01 
ISS2037,OMDW,LIRF,2020-04-01 
JAL44,EGLL,RJTT,2020-04-01 
TAP082,SBGR,LPPT,2020-04-01 
CKS204,EHAM,KEWR,2020-04-01 
CAO1041,RCTP,EDDF,2020-04-01 
KLM809,EHAM,WMKK,2020-04-01 
TVS5J,KMIA,LKPR,2020-04-01 
SIA7343,EHAM,OMSJ,2020-04-01 
TAM8071,EDDF,SBGR,2020-04-01 
ABW302,EHBK,OMDB,2020-04-01 
KAL902,LFPG,RKSI,2020-04-01 
KLM855,EHAM,RKSI,2020-04-01 
AAR796,EDDF,RKSI,2020-04-01 
ABD4410,EGCN,KJFK,2020-04-01 
ALK504,EGLL,VCBI,2020-04-01 
SHE32G,CYYC,EHRD,2020-04-01 
TAM8146,SBGR,LPPT,2020-04-01 
TAP224,KMIA,LPPT,2020-04-01 
MAS1,EGLL,WMKK,2020-04-01 
BAW15,EGLL,WSSS,2020-04-01 
PBD445,UUWW,UNEE,2020-04-01 
MPH8321,EHAM,FABA,2020-04-01 
SBI2513,UUDD,UNNT,2020-04-01 
ACA7157,EGLL,CYYZ,2020-04-01 
TAM8085,EGLL,SBGR,2020-04-01 
BOX510,EDDP,VHHH,2020-04-01 
BAW27,EGLL,VHHH,2020-04-01 
SIA321,EGLL,WSSS,2020-04-01 
KLM48,KORD,EHAM,2020-04-01 
AZA60M,KJFK,LIRF,2020-04-01 
PLM9431,KMIA,LEMD,2020-04-01 
AZV6687,UUWW,SBGL,2020-04-01 
KLM678,CYYC,EHAM,2020-04-01 
ACA872,CYYZ,EDDF,2020-04-01 
SAS904,KEWR,ESSA,2020-04-01 
DAL72,KATL,EHAM,2020-04-01 
LOT8569,EPWA,RKSI,2020-04-01 
AFR4151,SPJC,LFPG,2020-04-01 
ABW238,VHHH,UUEE,2020-04-01 
SOO275,EDDP,OBBI,2020-04-01 
CKS396,LPPT,KIAD,2020-04-01 
SAS9240,ESSA,VHHH,2020-04-01 
KLM428,OMDB,EHAM,2020-04-01 
BAW294,KORD,EGLL,2020-04-01 
AFR459,SBGR,LFPG,2020-04-01 
AFR6704,KIAH,LFPG,2020-04-01 
THA920,VTBS,EDDF,2020-04-01 
DAL30,KATL,EGLL,2020-04-01 
GFA007,OBBI,EGLL,2020-04-01 
BOX481,KIAH,EDDF,2020-04-01 
MPH7121,EHAM,SBKP,2020-04-01 
AAR5213,RKSI,EGLL,2020-04-01 
KLM646,KJFK,EHAM,2020-04-01 
ACA7154,CYYZ,EHAM,2020-04-01 
AFR6901,KJFK,LFPG,2020-04-01 
BOX581,VHHH,EDDK,2020-04-01 
BAW45B,KBOS,EGLL,2020-04-01 
LXJ92,KOPF,EGPH,2020-04-01 
AAR795,RKSI,UUDD,2020-04-01 
ABW315,ZGSZ,LFPG,2020-04-01 
BAW280,KLAX,EGLL,2020-04-01 
BOX393,KCVG,EDDP,2020-04-01 
AEE4994,LGAV,UAAA,2020-04-01 
AFL1459,UNWW,UUEE,2020-04-01 
ACA848,CYYZ,EGLL,2020-04-01 
PLM9481,KMIA,LEMD,2020-04-01 
BAW116,KJFK,EGLL,2020-04-01 
AJT489,KORD,EDDF,2020-04-01 
ACA870,CYUL,LFPG,2020-04-01 
AFL571,VIDP,UUEE,2020-04-01 
TSC764,CYYZ,LPPR,2020-04-01 
PBD446,UNEE,UUWW,2020-04-01 
AFL1451,UNEE,UUEE,2020-04-01 
KAL539,RKSI,EDDF,2020-04-01 
BRU9709,UMMS,OMDW,2020-04-01 
DHK966,EDDP,KJFK,2020-04-01 
CAL069,RCTP,EGKK,2020-04-01 
TSC232,CYYZ,LPFR,2020-04-01 
BAW18,RKSI,EGLL,2020-04-01 
SIA326,WSSS,EDDF,2020-04-01 
A7MED,OTBD,LSGG,2020-04-01 
AFL1407,USSK,UUEE,2020-04-01 
AEA642,KMIA,LEMD,2020-04-01 
AFR6905,KATL,LFPG,2020-04-01 
GTI8505,EDFH,KPSM,2020-04-01 
DLH345,MROC,EDDF,2020-04-01 
FIN142,VTBS,EFHK,2020-04-01 
BAW48Q,KSEA,EGLL,2020-04-01 
KZR937,UAAA,EDDF,2020-04-01 
TAM8084,SBGR,EGLL,2020-04-01 
TAM8070,SBGR,EDDF,2020-04-01 
